AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Time of Day
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190619_002000.WAV,GRABADOR-SDZG-AM-1,20190619_002000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,1900-01-01 00:20:00,60.00046875,,Recorded at 00:20:00 19/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:23:54-08:00,WAV,WAV,audio/x-wav,00
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190630_011000.WAV,GRABADOR-SDZG-AM-1,20190630_011000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,1900-01-01 01:10:00,60.00046875,,Recorded at 01:10:00 30/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:13:50-08:00,WAV,WAV,audio/x-wav,01
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190628_022000.WAV,GRABADOR-SDZG-AM-1,20190628_022000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,1900-01-01 02:20:00,60.00046875,,Recorded at 02:20:00 28/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:05:00-08:00,WAV,WAV,audio/x-wav,02
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190628_031000.WAV,GRABADOR-SDZG-AM-1,20190628_031000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,1900-01-01 03:10:00,60.00046875,,Recorded at 03:10:00 28/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:05:09-08:00,WAV,WAV,audio/x-wav,03
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190703_044000.WAV,GRABADOR-SDZG-AM-1,20190703_044000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,1900-01-01 04:40:00,60.00046875,,Recorded at 04:40:00 03/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:28:07-08:00,WAV,WAV,audio/x-wav,04
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190620_052000.WAV,GRABADOR-SDZG-AM-1,20190620_052000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,1900-01-01 05:20:00,60.00046875,,Recorded at 05:20:00 20/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:29:24-08:00,WAV,WAV,audio/x-wav,05
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190619_064000.WAV,GRABADOR-SDZG-AM-1,20190619_064000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,1900-01-01 06:40:00,60.00046875,,Recorded at 06:40:00 19/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:25:05-08:00,WAV,WAV,audio/x-wav,06
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190703_073000.WAV,GRABADOR-SDZG-AM-1,20190703_073000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,1900-01-01 07:30:00,60.00046875,,Recorded at 07:30:00 03/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.8V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:28:39-08:00,WAV,WAV,audio/x-wav,07
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190617_085000.WAV,GRABADOR-SDZG-AM-1,20190617_085000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,1900-01-01 08:50:00,60.00046875,,Recorded at 08:50:00 17/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.5V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:16:30-08:00,WAV,WAV,audio/x-wav,08
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190622_093000.WAV,GRABADOR-SDZG-AM-1,20190622_093000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,1900-01-01 09:30:00,60.00046875,,Recorded at 09:30:00 22/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.2V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:39:11-08:00,WAV,WAV,audio/x-wav,09
